,date,team,location,opponent,outcome,active,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points_scored,game_score,plus_minus,player_id,name
0,2005-11-01,Team.SACRAMENTO_KINGS,Location.AWAY,Team.NEW_ORLEANS_OKLAHOMA_CITY_HORNETS,Outcome.LOSS,True,1840,7,13,0,0,0,0,4,4,1,1,1,0,2,14,13.3,-9,abdursh01,Shareef Abdur-Rahim
1,2005-11-02,Team.SACRAMENTO_KINGS,Location.AWAY,Team.HOUSTON_ROCKETS,Outcome.LOSS,True,2000,8,16,0,0,1,3,6,3,2,0,0,1,3,17,12.5,-8,abdursh01,Shareef Abdur-Rahim
2,2005-11-06,Team.SACRAMENTO_KINGS,Location.AWAY,Team.PHOENIX_SUNS,Outcome.WIN,True,2384,8,16,0,0,7,9,7,5,7,1,1,2,1,23,24.8,-3,abdursh01,Shareef Abdur-Rahim
3,2005-11-08,Team.SACRAMENTO_KINGS,Location.HOME,Team.DETROIT_PISTONS,Outcome.LOSS,True,1990,7,9,0,0,0,0,0,5,2,0,1,1,3,14,11.9,-22,abdursh01,Shareef Abdur-Rahim
4,2005-11-09,Team.SACRAMENTO_KINGS,Location.AWAY,Team.DENVER_NUGGETS,Outcome.LOSS,True,2214,6,12,0,0,3,6,2,5,7,0,0,3,4,15,11.0,-9,abdursh01,Shareef Abdur-Rahim
5,2005-11-11,Team.SACRAMENTO_KINGS,Location.HOME,Team.DENVER_NUGGETS,Outcome.WIN,True,2404,5,10,0,0,4,6,0,9,2,0,0,1,4,14,9.7,2,abdursh01,Shareef Abdur-Rahim
6,2005-11-13,Team.SACRAMENTO_KINGS,Location.HOME,Team.NEW_YORK_KNICKS,Outcome.LOSS,True,2399,4,9,0,1,6,9,3,10,6,2,2,6,5,14,12.8,8,abdursh01,Shareef Abdur-Rahim
7,2005-11-15,Team.SACRAMENTO_KINGS,Location.HOME,Team.UTAH_JAZZ,Outcome.WIN,True,1394,4,6,0,0,2,3,1,2,0,1,1,1,4,10,7.4,24,abdursh01,Shareef Abdur-Rahim
8,2005-11-18,Team.SACRAMENTO_KINGS,Location.HOME,Team.MILWAUKEE_BUCKS,Outcome.WIN,True,2115,6,9,0,0,4,5,2,5,6,4,3,2,2,16,22.1,22,abdursh01,Shareef Abdur-Rahim
9,2005-11-20,Team.SACRAMENTO_KINGS,Location.AWAY,Team.SEATTLE_SUPERSONICS,Outcome.LOSS,True,2132,7,10,0,0,2,2,2,2,8,3,1,4,4,16,17.5,3,abdursh01,Shareef Abdur-Rahim
10,2005-11-21,Team.SACRAMENTO_KINGS,Location.HOME,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,True,1742,3,10,1,1,4,5,1,4,1,1,0,2,3,11,5.2,-17,abdursh01,Shareef Abdur-Rahim
11,2005-11-23,Team.SACRAMENTO_KINGS,Location.HOME,Team.NEW_JERSEY_NETS,Outcome.WIN,True,2092,4,7,0,0,6,6,2,5,3,1,0,5,4,14,10.1,18,abdursh01,Shareef Abdur-Rahim
12,2005-11-25,Team.SACRAMENTO_KINGS,Location.HOME,Team.TORONTO_RAPTORS,Outcome.WIN,True,2425,7,10,0,0,8,9,2,6,4,0,0,1,3,22,21.2,-3,abdursh01,Shareef Abdur-Rahim
13,2005-11-29,Team.SACRAMENTO_KINGS,Location.HOME,Team.CHARLOTTE_BOBCATS,Outcome.WIN,True,1544,4,12,2,2,0,0,2,7,3,0,2,1,2,10,8.4,11,abdursh01,Shareef Abdur-Rahim
14,2005-11-30,Team.SACRAMENTO_KINGS,Location.AWAY,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,True,2308,8,14,0,1,6,7,2,3,4,2,0,5,5,22,15.1,-9,abdursh01,Shareef Abdur-Rahim
15,2005-12-02,Team.SACRAMENTO_KINGS,Location.HOME,Team.MIAMI_HEAT,Outcome.LOSS,True,1993,5,11,0,0,4,4,1,2,3,0,0,0,3,14,10.5,-8,abdursh01,Shareef Abdur-Rahim
16,2005-12-04,Team.SACRAMENTO_KINGS,Location.HOME,Team.MINNESOTA_TIMBERWOLVES,Outcome.LOSS,True,1861,3,9,0,0,0,2,1,3,0,0,0,1,2,6,-0.1,-9,abdursh01,Shareef Abdur-Rahim
17,2005-12-06,Team.SACRAMENTO_KINGS,Location.HOME,Team.CLEVELAND_CAVALIERS,Outcome.LOSS,True,2236,9,14,1,1,6,6,0,4,2,0,2,2,4,25,19.2,3,abdursh01,Shareef Abdur-Rahim
18,2005-12-08,Team.SACRAMENTO_KINGS,Location.HOME,Team.HOUSTON_ROCKETS,Outcome.LOSS,True,2263,4,8,0,0,0,0,1,5,3,0,1,2,5,8,5.0,-3,abdursh01,Shareef Abdur-Rahim
19,2005-12-10,Team.SACRAMENTO_KINGS,Location.AWAY,Team.SEATTLE_SUPERSONICS,Outcome.WIN,True,2314,6,9,0,1,5,5,0,7,6,0,2,0,5,17,18.8,18,abdursh01,Shareef Abdur-Rahim
20,2005-12-11,Team.SACRAMENTO_KINGS,Location.HOME,Team.NEW_ORLEANS_OKLAHOMA_CITY_HORNETS,Outcome.WIN,True,2425,10,15,0,0,3,5,3,8,1,1,4,2,3,23,21.5,9,abdursh01,Shareef Abdur-Rahim
21,2005-12-13,Team.SACRAMENTO_KINGS,Location.AWAY,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,True,2070,5,9,1,1,8,8,1,1,3,0,0,0,4,19,16.2,12,abdursh01,Shareef Abdur-Rahim
22,2005-12-14,Team.SACRAMENTO_KINGS,Location.AWAY,Team.DETROIT_PISTONS,Outcome.LOSS,True,1719,5,11,0,1,4,4,0,2,3,1,0,1,1,14,10.6,-17,abdursh01,Shareef Abdur-Rahim
23,2005-12-17,Team.SACRAMENTO_KINGS,Location.AWAY,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,True,2458,12,16,0,0,1,3,1,6,3,1,0,2,4,25,19.8,7,abdursh01,Shareef Abdur-Rahim
24,2005-12-19,Team.SACRAMENTO_KINGS,Location.AWAY,Team.CHARLOTTE_BOBCATS,Outcome.LOSS,True,2771,12,20,0,0,8,9,1,4,2,0,1,3,5,32,21.4,3,abdursh01,Shareef Abdur-Rahim
